CIP13,NOM COURT,PRODUIT,Code EphMRA,Classe EphMRA,"Code
ATC","Classe
ATC","Code
ATC 2","Libellé
ATC 2",Base de remboursement Année 2017,"Nombre de boites remboursées     
Année 2017",Montant remboursé     Année 2017
3400930000649,A313 50000UI CAPSULE 30,A 313,A11C1,VITAMINE A,A11CA01,RETINOL (VIT A),A11,VITAMINES,"96,365 €","40,386","77,328 €"
3400930001479,A313 A LA TYROTHRICINE POMMADE TUBE 50G 1/50 G,A 313,D02A,EMOLLIENTS ET PROTECTEURS,D10AD02,RETINOL (VIT A),D10,PREPARATIONS ANTIACNEIQUES,199 €,125,86 €
3400930076972,ABACAVIR/LAMIVUDINE AUTHOU 600 MG/300 MG 30 COMPRIMES,ABACAVIR/LAMIVUDINE AUTHOU,J05C1,INHIBITEURS DE LA TRANSCRIPTASE INVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES,J05AR02,LAMIVUDINE ET ABACAVIR,J05,ANTIVIRAUX A USAGE SYSTEMIQUE,"143,296 €",890,"142,331 €"
3400930083451,ABACAVIR/LAMIVUDINE MYP 600 MG/300 MG 30 COMPRIMES,ABACAVIR/LAMIVUDINE MYLAN,J05C1,INHIBITEURS DE LA TRANSCRIPTASE INVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES,J05AR02,LAMIVUDINE ET ABACAVIR,J05,ANTIVIRAUX A USAGE SYSTEMIQUE,"1,726,244 €","10,629","1,708,485 €"
3400930083437,ABACAVIR/LAMIVUDINE SANDOZ 600 MG/300 MG 30 COMPRIMES,ABACAVIR/LAMIVUDINE SANDOZ,J05C1,INHIBITEURS DE LA TRANSCRIPTASE INVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES,J05AR02,LAMIVUDINE ET ABACAVIR,J05,ANTIVIRAUX A USAGE SYSTEMIQUE,"237,152 €","1,474","233,934 €"
3400930093177,ABACAVIR/LAMIVUDINE TVC 600 MG/300 MG CPR 30,ABACAVIR/LAMIVUDINE TEVA,J05C1,INHIBITEURS DE LA TRANSCRIPTASE INVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES,J05AR02,LAMIVUDINE ET ABACAVIR,J05,ANTIVIRAUX A USAGE SYSTEMIQUE,"320,036 €","1,979","318,910 €"
3400930016169,ABASAGLAR 100 U/ML SOL INJ CARTOUCHE 5,ABASAGLAR,A10C5,INSULINES HUMAINES ET ANALOGUES D'ACTION LENTE,A10AE04,INSULINE GLARGINE,A10,MEDICAMENTS DU DIABETE,"167,974 €","3,757","160,072 €"
3400930016213,ABASAGLAR 100 U/ML SOL INJ STYLO 5,ABASAGLAR,A10C5,INSULINES HUMAINES ET ANALOGUES D'ACTION LENTE,A10AE04,INSULINE GLARGINE,A10,MEDICAMENTS DU DIABETE,"1,831,081 €","40,846","1,765,622 €"
3400930040072,ABASAGLAR 100 UNITES/ML BOITE DE 5 STYLOS,ABASAGLAR,A10C5,INSULINES HUMAINES ET ANALOGUES D'ACTION LENTE,A10AE04,INSULINE GLARGINE,A10,MEDICAMENTS DU DIABETE,"5,084,953 €","113,759","4,939,632 €"
3400949500116,ABILIFY 10 MG CPR 28,ABILIFY,N05A1,ANTIPSYCHOTIQUES ATYPIQUES,N05AX12,ARIPIPRAZOLE,N05,PSYCHOLEPTIQUES,"52,007 €",746,"46,964 €"
3400949500208,ABILIFY 10 MG CPR ADP BBF 28,ABILIFY,N05A1,ANTIPSYCHOTIQUES ATYPIQUES,N05AX12,ARIPIPRAZOLE,N05,PSYCHOLEPTIQUES,"26,353 €",390,"24,373 €"
3400936407343,ABILIFY 10MG CPR 28,ABILIFY,N05A1,ANTIPSYCHOTIQUES ATYPIQUES,N05AX12,ARIPIPRAZOLE,N05,PSYCHOLEPTIQUES,"7,032,553 €","94,942","6,463,794 €"
3400936921450,ABILIFY 10MG CPR DISP 28,ABILIFY,N05A1,ANTIPSYCHOTIQUES ATYPIQUES,N05AX12,ARIPIPRAZOLE,N05,PSYCHOLEPTIQUES,"812,053 €","10,476","741,990 €"
